Time, z_position, z_position_rk_tendency, y_position, y_position_rk_tendency, x_position, x_position_rk_tendency, volume, qr, nr, vterm, prevp, nrevp
    3.50,      2994.8389828793,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009992210,     58246.4348154093,         1.4384636042,        -0.0000002111,      -479.5977314749
    3.60,      2994.6951087583,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009991999,     58198.5173607295,         1.4387411884,        -0.0000002108,      -479.1745396574
    3.70,      2994.5512068742,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009991789,     58150.6421803515,         1.4390188190,        -0.0000002105,      -478.7517966457
    3.80,      2994.4072772225,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009991579,     58102.8092294639,         1.4392964961,        -0.0000002102,      -478.3295017487
    3.90,      2994.2633197984,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009991369,     58055.0184633240,         1.4395742195,        -0.0000002099,      -477.9076542772
    4.00,      2994.1193345973,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009991159,     58007.2698372582,         1.4398519894,        -0.0000002097,      -477.4862535435
    4.10,      2993.9753216146,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009990950,     57959.5633066611,         1.4401298057,        -0.0000002094,      -477.0652988616
    4.20,      2993.8312808456,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009990741,     57911.8988269961,         1.4404076686,        -0.0000002091,      -476.6447895473
    4.30,      2993.6872122857,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009990532,     57864.2763537947,         1.4406855779,        -0.0000002088,      -476.2247249177
    4.40,      2993.5431159301,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009990323,     57816.6958426566,         1.4409635338,        -0.0000002085,      -475.8051042918
    4.50,      2993.3989917744,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009990115,     57769.1572492491,         1.4412415362,        -0.0000002082,      -475.3859269902
    4.60,      2993.2548398137,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009989907,     57721.6605293079,         1.4415195853,        -0.0000002079,      -474.9671923351
    4.70,      2993.1106600435,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009989699,     57674.2056386357,         1.4417976809,        -0.0000002076,      -474.5488996502
    4.80,      2992.9664524590,         0.0000000000,      6400.0000000000,         0.0000000000,      6400.0000000000,         0.0000000000,         0.0000000000,         0.0009989492,     57626.7925331031,         1.4420758231,        -0.0000002073,      -474.1310482609
